제품명,제품군 대분류,제품군 중분류,제품군 소분류,업체명,업체주소,생산지,출처,처분권자,조치일자,조치내용,위반내용,기타
희드라(가루세제),세제류,세탁세제,세탁세제,[제조/판매] 천광(055-337-3501),경상남도 함안군 군북면 함안산단6길 52,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,낙동강유역환경청,2023-02-21,"제조금지,판매금지,회수명령",확인을 받지 아니한 제품 제조·판매,"유효기간 만료일(21.11.19, 자가검사번호:F-A02B-M00020002-A151) 이후 부터 신고일(22.11.15, 신고번호 : FB22-03-0252)이전까지 제조된 제품 유통 불가"
썬플라워캔들,기타류,초,초,[제조/판매] 썬플라워,"부산광역시 기장군 정관읍 정관5로, 112동 1205호",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,낙동강유역환경청,2023-02-16,"제조금지,판매금지,회수명령",확인을 받지 아니한 제품 제조·판매,자가검사번호(C-A09B-B128001-A160) 유효기간이 만료된 제품으로 2019.6.30 이후 제조된 제품 유통금지
디퓨저(페어프리지아향),방향제류,방향제,방향제,[제조/판매] Amour Christine,부산광역시 동래구 사직북로28번길 9,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,낙동강유역환경청,2023-03-29,"판매금지,회수명령",확인을 받지 아니한 제품 제조·판매,
트리캔들(우드앤솔트향),기타류,초,초,[제조/판매] Amour Christine,부산광역시 동래구 사직북로28번길 9,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,낙동강유역환경청,2023-03-29,"판매금지,회수명령",확인을 받지 아니한 제품 제조·판매,
향기 리스타블렛(페어프리지아향),방향제류,방향제,방향제,[제조/판매] Amour Christine,부산광역시 동래구 사직북로28번길 9,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,낙동강유역환경청,2023-03-29,"제조금지,판매금지,회수명령",확인을 받지 아니한 제품 제조·판매,
투빈페이퍼 친환경 디퓨저(러브스펠),방향제류,방향제,방향제,[제조/판매] 투빈페이퍼,경상남도 창원시 마산회원구 구암서2길 110-1 천사유치원 1층,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,낙동강유역환경청,2023-06-15,"제조금지,판매금지,회수명령",확인을 받지 아니한 제품 제조·판매,
코지모지 룸 스프레이 포기(Foggy),방향제류,방향제,방향제,[제조/판매] 코지모지,"부산광역시 수영구 수영로 624번길 38-1, 1층",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,낙동강유역환경청,2023-06-27,"제조금지,판매금지,회수명령",확인을 받지 아니한 제품 제조·판매,"신고증명서 발급(2023.6.18)이전 제조·판매 제품 유통불가, 신고번호(GB22-12-2057) 표시제품 유통 가능"
코지모지 컨테이너 캔들 포기(Foggy),기타류,초,초,[제조/판매] 코지모지,"부산광역시 수영구 수영로 624번길 38-1, 1층",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,낙동강유역환경청,2023-06-27,"제조금지,판매금지,회수명령",확인을 받지 아니한 제품 제조·판매,"신고증명서 발급(2023.6.15)이전 제조·판매 제품 유통불가, 신고번호(GB21-26-2054) 표시제품 유통 가능"
그린N클린 허브향 패치,방향제류,"방향제, 살균제","방향제(마스크용), 살균제",[제조] G&C KOREA(032-507-3229),"인천 남동구 용천로87번길 23, 3103-104호",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-30,"제조금지,판매금지,회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],"향균/살균 문구 표기한 제품은 유통 금지, 신고증명서를 발급받은 (CB21-12-1018) 방향제 품목은 유통가능"
HERCULINER,코팅/접착제류,특수목적 코팅제,특수목적코팅제/녹 방지제,[수입/판매]GSTRADE,"충청북도 청주시 서원구 2순환로 1530번길 45(성화동, 주1동)",남아프리카공화국,화학제품안전법 제10조 및 제36조,금강유역환경청,2023-06-19,"수입금지,판매금지,회수명령",안전기준 적합 확인·신고 미실시,
듀쥬랑캔들(라벤더바닐라 향),기타류,초,초,[제조/판매]듀쥬랑,"대전광역시 서구 청사로 65, 118동 1413호(월평동, 황실타운)",대한민국,화학제품안전법 제10조 및 제36조,금강유역환경청,2023-06-27,"제조금지,판매금지,회수명령",표시사항 전체 미표기,신고번호(DB22-26-1035) 기재 등 표시기준 준수하여 제조한 제품은 판매·유통가능
캠코 실란트,코팅/접착제류,접합제,접합제,[수입/판매]가온카라반 모터스,충청북도 청주시 흥덕구 서부로 863,USA,화학제품안전법 제10조 및 제36조,금강유역환경청,2023-06-27,"수입금지,판매금지,회수명령",안전기준 적합 확인·신고 미실시,
에밋박스 방향제(라 튤립 향),방향제류,방향제,방향제,[제조/판매]에밋박스,"충청북도 청주시 흥덕구 직지대로 753번길 41, 102호",대한민국,화학제품안전법 제10조 및 제36조,금강유역환경청,2023-06-28,"제조금지,판매금지,회수명령","안전기준 적합 확인·신고 미실시, 표시사항 전체 미표기","적합확인 유효기간 만료 제품으로 2023.6.7 이후 제조된 제품 제조·판매금지, 회수명령"
에밋박스 캔들(라 튤립 향),기타류,초,초,[제조/판매]에밋박스,"충청북도 청주시 흥덕구 직지대로 753번길 41, 102호",대한민국,화학제품안전법 제10조 및 제36조,금강유역환경청,2023-06-28,"제조금지,판매금지,회수명령","안전기준 적합 확인·신고 미실시, 표시사항 전체 미표기",
노턱클린04 곰팡이제거제,기타류,"세정제, 살균제",세정제/살균제,[수입/판매]㈜마린마트(041-675-3969),충청남도 태안군 태안읍 동백로 153,,화학제품안전법 제10조 및 제36조,금강유역환경청,2023-06-29,"수입금지,판매금지,회수명령",안전기준 적합 확인·신고 미실시,
노턱클린20 유리세정제,코팅/접착제류,특수목적 코팅제,제거제/특수목적코팅제,[수입/판매]㈜마린마트(041-675-3969),충청남도 태안군 태안읍 동백로 153,,화학제품안전법 제10조 및 제36조,금강유역환경청,2023-06-29,"수입금지,판매금지,회수명령",안전기준 적합 확인·신고 미실시,
노턱클린 CNX1000 세라믹코팅제,코팅/접착제류,"광택코팅제, 특수목적코팅제",광택코팅제/특수목적코팅제,[수입/판매]㈜마린마트(041-675-3969),충청남도 태안군 태안읍 동백로 153,,화학제품안전법 제10조 및 제36조,금강유역환경청,2023-06-29,"수입금지,판매금지,회수명령",안전기준 적합 확인·신고 미실시,
노턱클린06 보트클리너,세제류,세정제/특수목적코팅제,세정제/광택코팅제/특수목적코팅제,[수입/판매]㈜마린마트(041-675-3969),충청남도 태안군 태안읍 동백로 153,,화학제품안전법 제10조 및 제36조,금강유역환경청,2023-06-29,"수입금지,판매금지,회수명령",안전기준 적합 확인·신고 미실시,
노턱클린02 녹제거제,세제류,세정제,세정제,[수입/판매]㈜마린마트(041-675-3969),충청남도 태안군 태안읍 동백로 153,,화학제품안전법 제10조 및 제36조,금강유역환경청,2023-06-29,"수입금지,판매금지,회수명령",안전기준 적합 확인·신고 미실시,
웨이브어웨이 스크린클리너,세제류,세정제/특수목적코팅제,세정제/특수목적코팅제,[수입/판매]㈜마린마트(041-675-3969),충청남도 태안군 태안읍 동백로 153,중국,화학제품안전법 제10조 및 제36조,금강유역환경청,2023-06-29,"수입금지,판매금지,회수명령",안전기준 적합 확인·신고 미실시,
악기용방습제 Houpak,기타류,"습기제거제, 탈취제",탈취제/습기제거제,[제조/판매]남경산업(043-218-2371),충북 청주시 청원구 내수읍 도원세교로 173,대한민국,화학제품안전법 제10조 및 제36조,금강유역환경청,2023-05-12,"제조금지,판매금지,회수명령","안전기준 적합 확인·신고 미실시, 표시사항 미표기",신고증명서발급(2023.5.11) 이전 제품이 회수대상으로 신고번호(GB23-27-0030) 표시제품은 유통 가능
민화샵 패브릭 페인트 8색,기타류,물체염색제,물체염색제,[수입/판매] 네이처뮤지엄(02-6956-6331),"인천광역시 서구 가석로30, 102동 1006호",,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-23,"수입금지, 판매금지, 회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],신고증명서 발급(2023.3.8.) 이전 제품 회수대상으로 신고번호(DB22-14-0029) 표시제품 유통 가능
민화샵 패브릭 튜브형 물감 세트,기타류,물체염색제,물체염색제,[수입/판매] 네이처뮤지엄(02-6956-6331),"인천광역시 서구 가석로30, 102동 1006호",,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-23,"수입금지, 판매금지, 회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],신고증명서 발급(2023.6.21.) 이전 제품 회수대상으로 신고번호(DB23-14-0008) 표시제품 유통 가능
루핀 벨벳 브러쉬 온 고정 젤,미용제품,미용 접착제,미용접착제,[제조] ㈜조영(031-999-4835),"경기도 김포시 양촌읍 황금로 117, 나동612호(메카존)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-23,"제조금지, 판매금지, 회수명령",안전·표시기준 위반[신고 미실시 및 표시사항 미표기],신고증명서 발급(2022.12.12) 이전 제품 회수대상으로 신고번호(EA21-19-0106) 표시제품 유통 가능
